GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,DSN001,DSN002
"G3500490","1980","4","8","New Mexico","35",,"Santa Fe","049",,,,,,,,,"SANTA FE COUNTY",21929,1560
"G3500510","1980","4","8","New Mexico","35",,"Sierra","051",,,,,,,,,"SIERRA COUNTY",2981,257
"G3500530","1980","4","8","New Mexico","35",,"Socorro","053",,,,,,,,,"SOCORRO COUNTY",3061,344
"G3500550","1980","4","8","New Mexico","35",,"Taos","055",,,,,,,,,"TAOS COUNTY",4715,724
"G3500570","1980","4","8","New Mexico","35",,"Torrance","057",,,,,,,,,"TORRANCE COUNTY",2341,214
"G3500590","1980","4","8","New Mexico","35",,"Union","059",,,,,,,,,"UNION COUNTY",1175,133
"G3500610","1980","4","8","New Mexico","35",,"Valencia","061",,,,,,,,,"VALENCIA COUNTY",15024,1061
"G3600010","1980","1","2","New York","36","0160","Albany","001",,,,,,,,,"ALBANY COUNTY",88863,5412
"G3600030","1980","1","2","New York","36",,"Allegany","003",,,,,,,,,"ALLEGANY COUNTY",13230,1288
"G3600050","1980","1","2","New York","36","5600","Bronx","005",,,,"70",,,,,"BRONX COUNTY",278020,74462
"G3600070","1980","1","2","New York","36","0960","Broome","007",,,,,,,,,"BROOME COUNTY",64410,3803
"G3600090","1980","1","2","New York","36",,"Cattaraugus","009",,,,,,,,,"CATTARAUGUS COUNTY",24241,1768
"G3600110","1980","1","2","New York","36",,"Cayuga","011",,,,,,,,,"CAYUGA COUNTY",22660,1777
"G3600130","1980","1","2","New York","36",,"Chautauqua","013",,,,,,,,,"CHAUTAUQUA COUNTY",44114,3372
"G3600150","1980","1","2","New York","36","2335","Chemung","015",,,,,,,,,"CHEMUNG COUNTY",29197,2237
"G3600170","1980","1","2","New York","36",,"Chenango","017",,,,,,,,,"CHENANGO COUNTY",14111,749
"G3600190","1980","1","2","New York","36",,"Clinton","019",,,,,,,,,"CLINTON COUNTY",20636,1620
"G3600210","1980","1","2","New York","36",,"Columbia","021",,,,,,,,,"COLUMBIA COUNTY",17991,1023
"G3600230","1980","1","2","New York","36",,"Cortland","023",,,,,,,,,"CORTLAND COUNTY",13364,1024
